date,platform,volume_eth,volume_usd,open,high,low,close
2026-06-17,orderly,4584.199300000001,8109070.365257752,1793.25,1808.5,1724.755,1749.165
2026-06-18,orderly,3804.352300000002,6553705.397365878,1749.11,1761.675,1670.455,1709.505
2026-06-19,orderly,2790.3512999999994,4754183.105244374,1709.51,1717.915,1678.005,1709.745
2026-06-20,orderly,8675.755999999998,14966297.247614998,1708.415,1748.855,1702.92,1740.095
2026-06-21,orderly,3136.1404,5400743.4626645,1739.95,1740.48,1701.73,1706.235
2026-06-22,orderly,4622.5563,7998605.624532749,1707.31,1779.145,1707.31,1727.605
2026-06-23,orderly,13395.843600000018,22639277.09048103,1727.405,1735.65,1631.84,1665.195
2026-06-24,orderly,5929.768899999999,9675344.486740623,1665.19,1691.05,1550.71,1619.675
2026-06-25,orderly,11031.903999999997,17582814.073759995,1620.095,1657.8,1531.14,1566.225
2026-06-26,orderly,11290.405400000001,17633722.091895502,1566.77,1592.64,1510.67,1577.25
2026-06-27,orderly,4119.9401,6510967.9367355,1578.05,1609.14,1561.785,1572.445
2026-06-28,orderly,3358.0372,5269805.5558785,1572.36,1587.36,1547.22,1570.305
2026-06-29,orderly,58961.332099999905,93837770.75546622,1569.54,1635.8,1549.17,1611.545
2026-06-30,orderly,7909.608700000015,12544975.556569774,1611.48,1613.19,1549.005,1570.495
2026-06-17,hyperliquid,513813.0555999997,909115129.9258595,1792.8,1810.0,1724.9,1749.7
2026-06-18,hyperliquid,596495.9254999995,1028090552.3955244,1749.9,1762.5,1670.7,1711.1
2026-06-19,hyperliquid,415148.82610000035,707875452.7434369,1711.1,1719.7,1678.4,1711.25
2026-06-20,hyperliquid,245334.53950000016,423563949.08326274,1711.3,1750.0,1703.7,1740.9
2026-06-21,hyperliquid,301068.1741,518492082.7306676,1740.4,1740.6,1701.6,1706.1
2026-06-22,hyperliquid,888259.1954999996,1536421930.4563494,1706.15,1778.6,1706.1,1727.95
2026-06-23,hyperliquid,602493.1537999999,1018838516.5690672,1727.9,1735.8,1634.1,1666.35
2026-06-24,hyperliquid,704397.4398000011,1149928820.4735017,1666.4,1691.1,1551.3,1621.2
2026-06-25,hyperliquid,659914.4597000001,1052101623.0997103,1621.1,1659.0,1530.5,1566.6
2026-06-26,hyperliquid,679933.4707000001,1062039082.8966326,1566.5,1592.8,1511.0,1577.6
2026-06-27,hyperliquid,148790.86590000003,235186282.18483508,1577.7,1609.9,1562.1,1572.9
2026-06-28,hyperliquid,160517.3148000004,251958009.64225566,1572.9,1587.2,1547.6,1570.95
2026-06-29,hyperliquid,396066.86369999964,630587955.368362,1571.0,1636.2,1549.3,1612.0
2026-06-30,hyperliquid,491625.6080000006,780093078.814101,1612.3,1613.4,1549.9,1571.45
